対象年,都道府県,市区町村,警察署等コード,本票番号,事故内容,死者数,負傷者数,発生日時,発生年,発生月,発生日,発生時,発生分,曜日,祝日,昼夜,天候,地形,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,当事者A 種別,当事者B 種別,当事者A 用途,当事者B 用途,当事者A 車両形状,当事者B 車両形状,当事者A 年齢,当事者B 年齢,当事者A 人身損傷程度,当事者B 人身損傷程度,当事者A 一時停止規制標識,当事者B 一時停止規制標識,当事者A 速度規制,当事者B 速度規制,当事者A 車両損壊程度,当事者B 車両損壊程度,当事者A エアバッグ,当事者B エアバッグ,緯度,経度
2019,和歌山,印南町,109,0052,負傷,0,1,2019/09/27 13:30,2019,9,27,13,30,金,その他,昼－昼,曇,非市街地,舗装－乾燥,単路－カーブ・屈折,施設なし,単路－5.5m以上,カーブ・屈折－左－上り,単路（交差点付近を含む）,規制なし,中央分離なし,区分あり－路側帯,車両相互,貨物車－中型車,貨物車－軽自動車,事業用,自家用,貨物車,貨物車,35～44歳,25～34歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,33.8673711,135.2511003
2019,和歌山,御坊市,109,0053,負傷,0,1,2019/08/22 06:50,2019,8,22,6,50,木,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点付近－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,貨物車－軽自動車,二輪車－自動二輪－小型二輪－751ｃｃ以上,自家用,自家用,貨物車,対象外当事者,65～74歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,小破,中破,その他,対象外当事者,33.823395,135.1907911
2019,和歌山,日高川町,109,0054,負傷,0,1,2019/08/22 12:00,2019,8,22,12,0,木,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－路側帯,車両相互,貨物車－中型車,特殊車－大型－その他,自家用,対象外当事者,貨物車,対象外当事者,45～54歳,35～44歳,負傷,損傷なし,規制なし,標準－反射式,指定の速度規制なし等,指定の速度規制なし等,大破,小破,その他,対象外当事者,33.8942308,135.2044453
2019,和歌山,御坊市,109,0055,負傷,0,1,2019/09/16 13:05,2019,9,16,13,5,月,当日,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－上り,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,二輪車－一般原付自転車,自家用,自家用,乗用車,対象外当事者,75歳以上,0～24歳,損傷なし,負傷,規制なし,その他,指定の速度規制なし等,指定の速度規制なし等,小破,中破,その他,対象外当事者,33.8463939,135.1680056
2019,和歌山,御坊市,109,0056,負傷,0,2,2019/09/29 16:15,2019,9,29,16,15,日,その他,昼－昼,曇,市街地－人口集中,舗装－乾燥,単路－その他,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,45～54歳,55～64歳,損傷なし,負傷,対象外当事者,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,中破,中破,その他,その他,33.8986392,135.1528244
2019,和歌山,日高川町,109,0057,負傷,0,1,2019/09/26 18:40,2019,9,26,18,40,木,その他,夜－暮,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－上り,交差点内,規制なし,中央線－ペイント,区分あり－防護柵等,車両相互,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,45～54歳,0～24歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,対象外当事者,小破,小破,その他,対象外当事者,33.9075114,135.1957078
2019,和歌山,上富田町,110,0148,負傷,0,1,2019/09/02 21:57,2019,9,2,21,57,月,その他,夜－夜,曇,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,0～24歳,25～34歳,損傷なし,損傷なし,規制なし,規制なし,指定の速度規制なし等,50㎞／ｈ以下,中破,中破,その他,その他,33.69495,135.428305
2019,和歌山,田辺市,110,0149,負傷,0,1,2019/08/01 15:40,2019,8,1,15,40,木,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－下り,交差点内,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,45～54歳,0～24歳,損傷なし,負傷,規制なし,規制なし,指定の速度規制なし等,対象外当事者,小破,小破,その他,対象外当事者,33.7001286,135.4000181
2019,和歌山,上富田町,110,0150,負傷,0,1,2019/06/11 07:45,2019,6,11,7,45,火,その他,昼－昼,曇,非市街地,舗装－湿潤,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央線－ペイント,区分あり－路側帯,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,45～54歳,25～34歳,損傷なし,負傷,規制なし,規制なし,50㎞／ｈ以下,50㎞／ｈ以下,小破,小破,その他,その他,33.7214311,135.4815306
2019,和歌山,みなべ町,110,0151,負傷,0,1,2019/09/21 11:45,2019,9,21,11,45,土,その他,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,施設なし,単路－3.5m以上,カーブ・屈折－左－下り,単路（交差点付近を含む）,規制なし,中央分離なし,区分あり－路側帯,車両単独,二輪車－自動二輪－小型二輪－751ｃｃ以上,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,35～44歳,不明,負傷,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,中破,対象外当事者,対象外当事者,対象外当事者,33.8397106,135.4573389
